Starting Location,Ending Location,Distance
Plattsmouth,Columbia,235.81195846991827
Plattsmouth,Independence,153.56539087441223
Plattsmouth,St Joseph,101.68030515200374
Plattsmouth,St Peters,318.3382668781929
Plattsmouth,Blue Springs,161.62772938840055
Plattsmouth,Joplin,280.685598697516
Plattsmouth,Jefferson City,259.0623864465046
Plattsmouth,Wildwood,324.2211120394204
Plattsmouth,Ozark,310.5759322112904
Des Moines,Omaha,122.10833133512102
Des Moines,Lincoln,169.03631093649122
Des Moines,Grand Island,249.79973540877324
Des Moines,Kearney,291.1133067018779
Des Moines,Columbus,194.00867274413991
Des Moines,Bellevue,122.91228037536273
Des Moines,Papillion,129.18704667520703
Des Moines,Plattsmouth,123.93240410541331
Des Moines,Iowa City,108.35825153804073
Des Moines,Cedar Rapids,104.74951792470475
Des Moines,Davenport,158.0232061496268
Des Moines,Sioux City,156.177851241659
Des Moines,Waterloo,680.7347938899879
Des Moines,Ankeny,10.089613799396624
Des Moines,Ames,30.644923349220004
Des Moines,Council Bluffs,118.27389292438345
Des Moines,Dubuque,164.82778238300227
Des Moines,Urbandale,7.618772411570775
Des Moines,Sioux Falls,208.31579832476993
Des Moines,Pierre,391.1550540056011
Des Moines,Rapid City,517.1084058838676
Des Moines,Deadwood,546.6773627238737
Des Moines,Aberdeen,362.2260110340774
Des Moines,Brookings,247.48239041021907
Des Moines,Watertown,288.58446275250907
Des Moines,Yankton,212.814394481258
Des Moines,Wichita,333.7445674032106
Des Moines,Overland Park,188.00982844171415
Des Moines,Olathe,197.04791983798967
Des Moines,Topeka,205.96128455328056
Des Moines,Lawrence,199.48332798078476
Des Moines,Shawnee,186.0420479030115
Des Moines,Lenexa,190.89166807678149
Des Moines,Manhattan,227.27463243582622
Des Moines,Salina,283.44059673183926
Des Moines,Dodge City,431.19280056919484
Des Moines,Kansas City,178.8335754151369
Des Moines,St Louis,273.1508273264994
Des Moines,Springfield,302.53337383260634
Des Moines,Columbia,194.18687988777248
Des Moines,Independence,177.18114089057084
Des Moines,St Joseph,140.98563957048495
Des Moines,St Peters,249.80780908944263
Des Moines,Blue Springs,180.66849123103842
Des Moines,Joplin,314.2344137078303
Des Moines,Jefferson City,221.46040122628852
Des Moines,Wildwood,259.9596885064349
Des Moines,Ozark,315.7791603792144
Iowa City,Omaha,230.07322330560763
Iowa City,Lincoln,275.39858455885917
Iowa City,Grand Island,357.788731860421
Iowa City,Kearney,398.87342170674685
Iowa City,Columbus,302.34808494668704
Iowa City,Bellevue,230.37597203273648
Iowa City,Papillion,236.7751257433843
Iowa City,Plattsmouth,230.39933338101164
Iowa City,Des Moines,108.35825153804073
Iowa City,Cedar Rapids,23.103931862170914
Iowa City,Davenport,50.43913198573622
Iowa City,Sioux City,256.98509509448223
Iowa City,Waterloo,575.2136654045837
Iowa City,Ankeny,106.96016360562503
Iowa City,Ames,111.25011438874759
Iowa City,Council Bluffs,226.22200074220208
Iowa City,Dubuque,73.5937232225421
Iowa City,Urbandale,115.25274016771169
Iowa City,Sioux Falls,295.2369694232331
Iowa City,Pierre,483.9854674505637
Iowa City,Rapid City,616.3637994619145
Iowa City,Deadwood,644.8764106307273
Iowa City,Aberdeen,436.62642301859916
Iowa City,Brookings,323.4967235066621
Iowa City,Watertown,359.4351988888538
Iowa City,Yankton,311.93738796698057
Iowa City,Wichita,412.74318234609046
Iowa City,Overland Park,247.98371290974012
Iowa City,Olathe,258.47383075378997
Iowa City,Topeka,283.1633540290442
Iowa City,Lawrence,269.30542726627544
Iowa City,Shawnee,247.45694743699235
Iowa City,Lenexa,251.69175078600185
Iowa City,Manhattan,315.6710354987511
Iowa City,Salina,375.3638121571934
Iowa City,Dodge City,525.8400326008477
Iowa City,Kansas City,238.6153883328681
Iowa City,St Louis,220.73134633616263
Iowa City,Springfield,320.96999892566066
Iowa City,Columbia,191.42790991129303
Iowa City,Independence,233.36922946882808
Iowa City,St Joseph,217.35533114768157
Iowa City,St Peters,203.73493567264163
Iowa City,Blue Springs,232.85872010764666
Iowa City,Joplin,353.4762216145348
Iowa City,Jefferson City,215.2559666697783
Iowa City,Wildwood,217.12256418767046
Iowa City,Ozark,332.15492823123475
Cedar Rapids,Omaha,226.58942912509715
Cedar Rapids,Lincoln,273.75398904095783
Cedar Rapids,Grand Island,354.0543909198154
Cedar Rapids,Kearney,395.5398056766249
Cedar Rapids,Columbus,296.83517323136556
Cedar Rapids,Bellevue,227.62021559065357
Cedar Rapids,Papillion,233.85548669533063
Cedar Rapids,Plattsmouth,228.6334970344026
Cedar Rapids,Des Moines,104.74951792470475
Cedar Rapids,Iowa City,23.103931862170914
Cedar Rapids,Davenport,64.37925887776386
Cedar Rapids,Sioux City,245.66187880893125
Cedar Rapids,Waterloo,575.9862596968836
Cedar Rapids,Ankeny,101.24857607280777
Cedar Rapids,Ames,101.28393631170852
Cedar Rapids,Council Bluffs,222.77695454261627
Cedar Rapids,Dubuque,62.842413818207795
Cedar Rapids,Urbandale,110.82705844219728
Cedar Rapids,Sioux Falls,279.4042416366815
Cedar Rapids,Pierre,468.635480508893
Cedar Rapids,Rapid City,602.8589245592719
Cedar Rapids,Deadwood,630.9170666368944
Cedar Rapids,Aberdeen,417.5967609961562
Cedar Rapids,Brookings,305.3027238139823
Cedar Rapids,Watertown,340.20929001378136
Cedar Rapids,Yankton,299.4537997057628
Cedar Rapids,Wichita,422.1953171716524
Cedar Rapids,Overland Park,260.33775460206897
Cedar Rapids,Olathe,270.68729219473835
Cedar Rapids,Topeka,292.29616629188376
Cedar Rapids,Lawrence,279.9542650645498
Cedar Rapids,Shawnee,259.5309698918588
Cedar Rapids,Lenexa,263.93889862623973
Cedar Rapids,Manhattan,322.0774772928708
Cedar Rapids,Salina,380.91770133705984
Cedar Rapids,Dodge City,530.7509736312289
Cedar Rapids,Kansas City,250.87345241556267
Cedar Rapids,St Louis,243.8207474527632
Cedar Rapids,Springfield,340.24536832794354
Cedar Rapids,Columbia,211.75465582595677
Cedar Rapids,Independence,246.20871694667395
Cedar Rapids,St Joseph,225.8628594368164
Cedar Rapids,St Peters,226.8084742272733
Cedar Rapids,Blue Springs,246.39761259949117
Cedar Rapids,Joplin,370.240435247825
Cedar Rapids,Jefferson City,236.20136155017167
Cedar Rapids,Wildwood,240.16444809562222
Cedar Rapids,Ozark,351.7249324523157
Davenport,Omaha,278.9613203531557
Davenport,Lincoln,323.0569361270611
Davenport,Grand Island,406.486869216905
Davenport,Kearney,447.28045118090506
Davenport,Columbus,351.94742768557046
Davenport,Bellevue,278.88611556817784
Davenport,Papillion,285.34789784118067
Davenport,Plattsmouth,278.33383688806185
Davenport,Des Moines,158.0232061496268
Davenport,Iowa City,50.43913198573622
Davenport,Cedar Rapids,64.37925887776386
Davenport,Sioux City,307.30133807914365
Davenport,Waterloo,530.5335808940379
Davenport,Ankeny,157.15517863226142
Davenport,Ames,161.6123385333576
Davenport,Council Bluffs,275.1054294088706
Davenport,Dubuque,67.98224898267841
Davenport,Urbandale,165.10357058670306
Davenport,Sioux Falls,343.6370238526612
Davenport,Pierre,532.7768316767534
Davenport,Rapid City,666.1763909607595
Davenport,Deadwood,694.4941474035389
Davenport,Aberdeen,481.3303375289014
Davenport,Brookings,369.49610387293336
Davenport,Watertown,403.85868038785736
Davenport,Yankton,362.0276146953654
Davenport,Wichita,446.8699477408735
Davenport,Overland Park,278.4562431254529
Davenport,Olathe,289.0476384745537
Davenport,Topeka,318.8871824983181
Davenport,Lawrence,302.645500464182
Davenport,Shawnee,278.4890375226275
Davenport,Lenexa,282.3117787904553
Davenport,Manhattan,355.1047710942534
Davenport,Salina,415.54619335462314
Davenport,Dodge City,566.2855316584879
Davenport,Kansas City,269.4473237913795
Davenport,St Louis,200.8520445581015
Davenport,Springfield,331.2015258532837
Davenport,Columbia,200.27690864429545
Davenport,Independence,263.1380778296409
Davenport,St Joseph,254.96118664171263
Davenport,St Peters,188.79916281634954
Davenport,Blue Springs,261.1680827608641
Davenport,Joplin,371.76938701748486
Davenport,Jefferson City,220.2134580582863
Davenport,Wildwood,202.94905063880964
Davenport,Ozark,341.0498647361712
Sioux City,Omaha,88.93951658117982
Sioux City,Lincoln,117.14667466806046
Sioux City,Grand Island,147.54967242128276
Sioux City,Kearney,186.01672655272188
Sioux City,Columbus,88.48742810915131
Sioux City,Bellevue,96.15902417061046
Sioux City,Papillion,94.47050348235861
Sioux City,Plattsmouth,106.01820062337276
Sioux City,Des Moines,156.177851241659
Sioux City,Iowa City,256.98509509448223
Sioux City,Cedar Rapids,245.66187880893125
Sioux City,Davenport,307.30133807914365
Sioux City,Waterloo,806.6154791871217
Sioux City,Ankeny,153.48098190685008
Sioux City,Ames,145.74434615034306
Sioux City,Council Bluffs,89.69636232154132
Sioux City,Dubuque,292.9726254469724
Sioux City,Urbandale,148.5633898458907
Sioux City,Sioux Falls,74.3226840972996
Sioux City,Pierre,236.9082416120043
Sioux City,Rapid City,361.0622914946669
Sioux City,Deadwood,390.51209185171234
Sioux City,Aberdeen,229.69897511521424
Sioux City,Brookings,126.86015240997679
Sioux City,Watertown,169.67490445702327
Sioux City,Yankton,56.77555207015297
Sioux City,Wichita,335.3991786751976
Sioux City,Overland Park,258.983340712646
Sioux City,Olathe,262.9602611557374
Sioux City,Topeka,241.0471737415249
Sioux City,Lawrence,250.82718717087369
Sioux City,Shawnee,255.53686780734742
Sioux City,Lenexa,259.70701278222737
Sioux City,Manhattan,228.7558320337876
Sioux City,Salina,260.1042122707987
Sioux City,Dodge City,379.00404796456564
Sioux City,Kansas City,253.16980116206136
Sioux City,St Louis,421.6000091845693
Sioux City,Springfield,400.4962912525848
Sioux City,Columbia,324.7094421054486
Sioux City,Independence,257.0686502529269
Sioux City,St Joseph,205.09699967321703
Sioux City,St Peters,396.8518843580429
Sioux City,Blue Springs,264.64831889308766
Sioux City,Joplin,386.69209211222187
Sioux City,Jefferson City,350.2768965169979
Sioux City,Wildwood,405.13755198166956
Sioux City,Ozark,414.29438697543566
Waterloo,Omaha,802.3891354717196
Waterloo,Lincoln,849.6862324489707
Waterloo,Grand Island,929.3886832566687
Waterloo,Kearney,971.0630838423967
Waterloo,Columbus,870.6103773413402
Waterloo,Bellevue,803.5855317571337
Waterloo,Papillion,809.7915266665075
Waterloo,Plattsmouth,804.559492378455
Waterloo,Des Moines,680.7347938899879
Waterloo,Iowa City,575.2136654045837
Waterloo,Cedar Rapids,575.9862596968836
Waterloo,Davenport,530.5335808940379
Waterloo,Sioux City,806.6154791871217
Waterloo,Ankeny,676.9070208668334
Waterloo,Ames,673.6091848072965
Waterloo,Council Bluffs,798.5981979908985
Waterloo,Dubuque,518.160645056162
Waterloo,Urbandale,686.7463317266837
Waterloo,Sioux Falls,813.3271997082695
Waterloo,Pierre,989.3888295524599
Waterloo,Rapid City,1133.3570032866062
Waterloo,Deadwood,1156.0711123034087
Waterloo,Aberdeen,897.1032207538167
Waterloo,Brookings,813.5448159525837
Waterloo,Watertown,828.9684157878656
Waterloo,Yankton,852.2976898172368
Waterloo,Wichita,967.765856796318
Waterloo,Overland Park,798.1944411346326
Waterloo,Olathe,808.4909549924048
Waterloo,Topeka,844.485647457299
Waterloo,Lawrence,825.59535521454
Waterloo,Shawnee,799.0387884829632
Waterloo,Lenexa,802.1046827460682
Waterloo,Manhattan,884.003978495117
Waterloo,Salina,944.7259656616823
Waterloo,Dodge City,1095.1686448418607
Waterloo,Kansas City,790.0844704416091
Waterloo,St Louis,605.2746770293461
Waterloo,Springfield,799.2563664559634
Waterloo,Columbia,689.0468778364583
Waterloo,Independence,782.5442941231222
Waterloo,St Joseph,783.3712076900591
Waterloo,St Peters,617.738897880044
Waterloo,Blue Springs,778.5002216594712
Waterloo,Joplin,858.9075992119073
Waterloo,Jefferson City,695.2533370285648
Waterloo,Wildwood,627.3376263636959
